Geo_FIPS	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_BTTR	Geo_BTBG	Geo_AREALAND	Geo_AREAWATR	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A14006_001	SE_A09005_001	SE_A09005_002	SE_A09005_009	SE_A09005_010	SE_A09005_003	SE_A09005_004	SE_A09005_005	SE_A09005_006	SE_A09005_007	SE_A09005_008	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A09003_001	SE_A10030_001	SE_A10030_002	SE_A10030_003	SE_A10030_004	SE_A10030_005	SE_A10030_006	SE_A10030_007
"36005000100"	"Census Tract 1, Bronx County, New York"	"Census Tract 1, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003481"	""	""	""	""	"36"	"005"	""	""	""	"000100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005000100"	""	""	"1677210"	"1035011"	7411	7411	11444.24	0.647574428916273	5522	3251	1485	667	75	44	0	0	5522	3251	2152	119	5522	3251	2271	786	119	44	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0
"36005000200"	"Census Tract 2, Bronx County, New York"	"Census Tract 2, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003482"	""	""	""	""	"36"	"005"	""	""	""	"000200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005000200"	""	""	"479463"	"852046"	5058	5058	27322.57	0.185121707127601	3438	849	1205	854	373	135	15	7	3438	849	2059	530	3438	849	2589	1384	530	157	22	7	69381	1835	1124	951	173	631	0	0	71	0	9	1835	1826	21	357	372	250	346	284	196	9	42	1321	243	690	325	63	0	0
"36005000400"	"Census Tract 4, Bronx County, New York"	"Census Tract 4, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003483"	""	""	""	""	"36"	"005"	""	""	""	"000400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005000400"	""	""	"770689"	"690794"	5944	5944	19975.49	0.297564699141463	4180	527	884	1580	675	483	13	18	4180	527	2464	1189	4180	527	3653	2769	1189	514	31	18	91402	2848	1481	1257	224	1258	0	10	46	0	53	2848	2795	116	217	380	320	607	800	355	53	48	1935	460	861	509	93	12	0
"36005001600"	"Census Tract 16, Bronx County, New York"	"Census Tract 16, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003484"	""	""	""	""	"36"	"005"	""	""	""	"001600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001600"	""	""	"485079"	"0"	6115	6115	32649.89	0.187290056942349	3533	1117	1115	847	266	177	11	0	3533	1117	1962	454	3533	1117	2416	1301	454	188	11	0	36604	2098	872	759	113	991	0	0	154	0	81	2098	2017	95	425	267	330	372	426	102	81	39	1962	964	737	239	22	0	0
"36005001900"	"Census Tract 19, Bronx County, New York"	"Census Tract 19, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003485"	""	""	""	""	"36"	"005"	""	""	""	"001900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001900"	""	""	"1668013"	"1143135"	2817	2817	4374.064	0.644023447212883	1837	435	432	550	285	115	20	0	1837	435	982	420	1837	435	1402	970	420	135	20	0	44340	1250	283	251	32	843	0	12	76	12	24	1250	1226	84	129	116	246	290	226	135	24	44	969	607	331	17	0	14	0
"36005002000"	"Census Tract 20, Bronx County, New York"	"Census Tract 20, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003486"	""	""	""	""	"36"	"005"	""	""	""	"002000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002000"	""	""	"395564"	"0"	9608	9608	62909.18	0.15272812074805	5698	2307	1795	914	518	115	21	28	5698	2307	2709	682	5698	2307	3391	1596	682	164	49	28	20304	2367	681	630	51	1492	0	0	168	14	12	2367	2355	69	414	211	371	623	492	175	12	41	3074	2047	797	216	14	0	0
"36005002300"	"Census Tract 23, Bronx County, New York"	"Census Tract 23, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003487"	""	""	""	""	"36"	"005"	""	""	""	"002300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002300"	""	""	"104645"	"0"	4733	4733	117142.8	0.0404036621019094	2803	1065	1152	456	95	29	6	0	2803	1065	1608	130	2803	1065	1738	586	130	35	6	0	19260	1223	103	59	44	994	0	0	121	4	1	1223	1222	0	186	208	184	249	328	67	1	41	1982	1621	324	22	15	0	0
"36005002400"	"Census Tract 24, Bronx County, New York"	"Census Tract 24, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003488"	""	""	""	""	"36"	"005"	""	""	""	"002400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002400"	""	""	"675911"	"263388"	130	130	498.1402	0.260970707200188	104	0	0	34	28	42	0	0	104	0	34	70	104	0	104	104	70	42	0	0	""	104	0	0	0	104	0	0	0	0	0	104	104	0	0	34	0	0	70	0	0	""	28	28	0	0	0	0	0
"36005002500"	"Census Tract 25, Bronx County, New York"	"Census Tract 25, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003489"	""	""	""	""	"36"	"005"	""	""	""	"002500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002500"	""	""	"127492"	"0"	5760	5760	117013.9	0.0492249384939235	3466	1610	861	685	195	76	39	0	3466	1610	1546	310	3466	1610	1856	995	310	115	39	0	25168	2147	199	153	46	1484	0	91	300	31	42	2147	2105	87	350	122	623	290	549	84	42	40	1890	1349	463	58	20	0	0
"36005002701"	"Census Tract 27.01, Bronx County, New York"	"Census Tract 27.01, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003490"	""	""	""	""	"36"	"005"	""	""	""	"002701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002701"	""	""	"82641"	"0"	2958	2958	92704.4	0.0319078698434124	1522	641	436	293	108	30	0	14	1522	641	729	152	1522	641	881	445	152	44	14	14	19213	959	130	112	18	623	0	0	193	0	13	959	946	74	111	55	121	298	207	80	13	43	1059	865	189	5	0	0	0
