Geo_FIPS	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_BTTR	Geo_BTBG	Geo_AREALAND	Geo_AREAWATR	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A14006_001	SE_A09005_001	SE_A09005_002	SE_A09005_009	SE_A09005_010	SE_A09005_003	SE_A09005_004	SE_A09005_005	SE_A09005_006	SE_A09005_007	SE_A09005_008	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A09003_001	SE_A10030_001	SE_A10030_002	SE_A10030_003	SE_A10030_004	SE_A10030_005	SE_A10030_006	SE_A10030_007
"36005002702"	"Census Tract 27.02, Bronx County, New York"	"Census Tract 27.02, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003491"	""	""	""	""	"36"	"005"	""	""	""	"002702"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002702"	""	""	"155504"	"0"	4538	4538	75582.4	0.060040432619765	2415	1080	668	489	170	8	0	0	2415	1080	1157	178	2415	1080	1335	667	178	8	0	0	14607	1421	152	82	70	1196	0	11	49	0	13	1421	1408	11	87	106	211	542	361	90	13	50	1467	1238	209	9	11	0	0
"36005002800"	"Census Tract 28, Bronx County, New York"	"Census Tract 28, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003492"	""	""	""	""	"36"	"005"	""	""	""	"002800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002800"	""	""	"414588"	"24677"	5423	5423	33878.22	0.160073328525074	4015	647	1029	1558	596	169	16	0	4015	647	2587	781	4015	647	3368	2339	781	185	16	0	57799	2439	1166	1134	32	1227	0	0	46	0	0	2439	2439	47	376	200	402	408	637	369	0	48	2377	866	1191	258	62	0	0
"36005003100"	"Census Tract 31, Bronx County, New York"	"Census Tract 31, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003493"	""	""	""	""	"36"	"005"	""	""	""	"003100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003100"	""	""	"154703"	"0"	1675	1675	28042.31	0.0597311647775974	1020	289	286	293	146	6	0	0	1020	289	579	152	1020	289	731	445	152	6	0	0	46811	801	210	210	0	513	0	0	78	0	0	801	801	56	126	35	143	272	143	26	0	38	564	329	155	78	0	2	0
"36005003300"	"Census Tract 33, Bronx County, New York"	"Census Tract 33, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003494"	""	""	""	""	"36"	"005"	""	""	""	"003300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003300"	""	""	"152385"	"0"	3693	3693	62767.5	0.0588361799359688	2020	952	458	457	120	22	11	0	2020	952	915	153	2020	952	1068	610	153	33	11	0	22562	864	154	89	65	584	6	0	86	0	34	864	830	54	92	56	117	231	152	128	34	45	1216	953	226	37	0	0	0
"36005003500"	"Census Tract 35, Bronx County, New York"	"Census Tract 35, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003495"	""	""	""	""	"36"	"005"	""	""	""	"003500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003500"	""	""	"142005"	"0"	3821	3821	69690.11	0.0548284393595646	2275	1064	557	400	219	35	0	0	2275	1064	957	254	2275	1064	1211	654	254	35	0	0	34968	1280	424	375	49	728	0	0	33	0	95	1280	1185	56	99	66	138	400	312	114	95	49	1328	796	487	45	0	0	0
"36005003700"	"Census Tract 37, Bronx County, New York"	"Census Tract 37, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003496"	""	""	""	""	"36"	"005"	""	""	""	"003700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003700"	""	""	"165973"	"0"	292	292	4556.624	0.0640825362897434	208	65	90	31	17	0	0	5	208	65	121	22	208	65	143	53	22	5	5	5	""	112	25	25	0	75	0	0	12	0	0	112	112	16	27	0	17	18	34	0	0	35	143	99	19	13	12	0	0
"36005003800"	"Census Tract 38, Bronx County, New York"	"Census Tract 38, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003497"	""	""	""	""	"36"	"005"	""	""	""	"003800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003800"	""	""	"63397"	"0"	1437	1437	58706.45	0.02447771958789	995	224	335	352	40	28	6	10	995	224	687	84	995	224	771	436	84	44	16	10	40527	545	235	227	8	276	0	0	34	0	0	545	545	20	99	57	157	87	70	55	0	39	406	186	183	20	11	6	0
"36005003900"	"Census Tract 39, Bronx County, New York"	"Census Tract 39, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003498"	""	""	""	""	"36"	"005"	""	""	""	"003900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003900"	""	""	"216210"	"0"	6473	6473	77540.32	0.0834791512547548	3815	1808	951	713	262	23	43	15	3815	1808	1664	343	3815	1808	2007	1056	343	81	58	15	33552	2806	266	196	70	2230	0	0	198	32	80	2806	2726	64	140	618	502	703	615	84	80	41	1986	1531	396	17	0	0	42
"36005004001"	"Census Tract 40.01, Bronx County, New York"	"Census Tract 40.01, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003499"	""	""	""	""	"36"	"005"	""	""	""	"004001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004001"	""	""	"123145"	"0"	1428	1428	30033.72	0.0475465523392386	1043	320	270	334	102	12	5	0	1043	320	604	119	1043	320	723	453	119	17	5	0	54938	533	174	160	14	311	0	0	38	0	10	533	523	34	42	31	143	83	184	6	10	41	494	137	268	84	5	0	0
"36005004100"	"Census Tract 41, Bronx County, New York"	"Census Tract 41, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003500"	""	""	""	""	"36"	"005"	""	""	""	"004100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004100"	""	""	"184733"	"0"	5946	5946	83363.93	0.0713258130925703	3054	1341	877	659	145	32	0	0	3054	1341	1536	177	3054	1341	1713	836	177	32	0	0	22257	1713	90	90	0	1323	0	34	200	39	27	1713	1686	67	221	208	189	544	395	62	27	40	2030	1679	214	118	0	0	19
"36005004200"	"Census Tract 42, Bronx County, New York"	"Census Tract 42, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003501"	""	""	""	""	"36"	"005"	""	""	""	"004200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004200"	""	""	"483356"	"0"	7814	7814	41870.11	0.18662480289484	4759	1046	1768	1382	544	19	0	0	4759	1046	3150	563	4759	1046	3713	1945	563	19	0	0	33943	1969	499	473	26	1140	0	0	275	37	18	1969	1951	178	126	210	258	339	681	159	18	45	2707	1553	1060	65	29	0	0
"36005004300"	"Census Tract 43, Bronx County, New York"	"Census Tract 43, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003502"	""	""	""	""	"36"	"005"	""	""	""	"004300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004300"	""	""	"225393"	"0"	6190	6190	71129.21	0.0870247275276951	3706	1541	1027	822	269	47	0	0	3706	1541	1849	316	3706	1541	2165	1138	316	47	0	0	25355	1953	383	331	52	1216	0	0	261	11	82	1953	1871	174	103	181	461	494	392	66	82	39	2047	1581	405	61	0	0	0
"36005004400"	"Census Tract 44, Bronx County, New York"	"Census Tract 44, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003503"	""	""	""	""	"36"	"005"	""	""	""	"004400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004400"	""	""	"265578"	"0"	4446	4446	43358.59	0.102540243429699	2549	1101	566	595	254	33	0	0	2549	1101	1161	287	2549	1101	1448	882	287	33	0	0	21085	1058	208	135	73	674	0	0	90	18	68	1058	990	10	115	52	154	278	312	69	68	45	1636	1085	308	243	0	0	0
"36005004600"	"Census Tract 46, Bronx County, New York"	"Census Tract 46, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003504"	""	""	""	""	"36"	"005"	""	""	""	"004600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004600"	""	""	"135340"	"0"	1876	1876	35900.82	0.0522550683632511	1214	343	240	421	151	43	0	16	1214	343	661	210	1214	343	871	631	210	59	16	16	43816	722	223	180	43	400	0	0	99	0	0	722	722	155	81	45	43	91	257	50	0	40	718	410	238	61	9	0	0
"36005004800"	"Census Tract 48, Bronx County, New York"	"Census Tract 48, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003505"	""	""	""	""	"36"	"005"	""	""	""	"004800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004800"	""	""	"150832"	"0"	4536	4536	77889.21	0.0582365632582081	2674	1059	775	576	199	54	11	0	2674	1059	1351	264	2674	1059	1615	840	264	65	11	0	36332	1976	464	383	81	1357	0	0	90	0	65	1976	1911	91	200	181	244	476	623	96	65	43	1325	850	323	132	20	0	0
"36005005001"	"Census Tract 50.01, Bronx County, New York"	"Census Tract 50.01, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003506"	""	""	""	""	"36"	"005"	""	""	""	"005001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005001"	""	""	"97889"	"0"	5101	5101	134964.4	0.0377951558076717	2780	1237	647	584	184	120	8	0	2780	1237	1231	312	2780	1237	1543	896	312	128	8	0	27281	1718	236	179	57	1189	0	0	243	0	50	1718	1668	136	98	149	127	349	627	182	50	47	1564	1044	333	146	41	0	0
"36005005002"	"Census Tract 50.02, Bronx County, New York"	"Census Tract 50.02, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003507"	""	""	""	""	"36"	"005"	""	""	""	"005002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005002"	""	""	"113902"	"0"	5583	5583	126950.4	0.0439778099357989	3460	1510	718	921	240	59	12	0	3460	1510	1639	311	3460	1510	1950	1232	311	71	12	0	30197	2344	273	220	53	1705	0	29	303	0	34	2344	2310	89	175	154	276	493	944	179	34	49	1888	1329	260	274	25	0	0
"36005005100"	"Census Tract 51, Bronx County, New York"	"Census Tract 51, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003508"	""	""	""	""	"36"	"005"	""	""	""	"005100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005100"	""	""	"510448"	"0"	5721	5721	29028.07	0.19708508301969	3169	1220	859	845	200	45	0	0	3169	1220	1704	245	3169	1220	1949	1090	245	45	0	0	20368	1768	131	120	11	1458	0	0	173	0	6	1768	1762	0	163	278	465	562	194	100	6	39	2046	1665	289	86	6	0	0
"36005005200"	"Census Tract 52, Bronx County, New York"	"Census Tract 52, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003509"	""	""	""	""	"36"	"005"	""	""	""	"005200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005200"	""	""	"182689"	"0"	2151	2151	30494.8	0.0705366202468892	1315	398	361	403	145	0	0	8	1315	398	764	153	1315	398	917	556	153	8	8	8	19291	780	109	69	40	511	0	39	101	20	0	780	780	37	111	146	95	142	199	50	0	40	825	598	155	72	0	0	0
"36005005300"	"Census Tract 53, Bronx County, New York"	"Census Tract 53, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003510"	""	""	""	""	"36"	"005"	""	""	""	"005300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005300"	""	""	"68744"	"3852"	4167	4167	156995.2	0.0265422079175656	2160	774	525	653	165	37	6	0	2160	774	1178	208	2160	774	1386	861	208	43	6	0	14942	922	155	123	32	695	0	0	72	0	0	922	922	11	58	117	86	224	221	205	0	56	1508	1314	188	6	0	0	0
"36005005400"	"Census Tract 54, Bronx County, New York"	"Census Tract 54, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003511"	""	""	""	""	"36"	"005"	""	""	""	"005400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005400"	""	""	"196516"	"0"	6463	6463	85179.29	0.0758752550204866	4032	1832	1219	730	184	41	26	0	4032	1832	1949	251	4032	1832	2200	981	251	67	26	0	35028	2765	417	337	80	1976	0	32	257	0	83	2765	2682	187	236	281	482	416	722	358	83	47	1800	1319	318	145	0	18	0
"36005005600"	"Census Tract 56, Bronx County, New York"	"Census Tract 56, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003512"	""	""	""	""	"36"	"005"	""	""	""	"005600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005600"	""	""	"136188"	"0"	2608	2608	49598.27	0.0525824830076433	1632	639	536	310	118	29	0	0	1632	639	846	147	1632	639	993	457	147	29	0	0	23616	826	229	179	50	481	0	0	94	0	22	826	804	52	108	37	150	166	201	90	22	44	883	514	234	130	5	0	0
"36005005902"	"Census Tract 59.02, Bronx County, New York"	"Census Tract 59.02, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003513"	""	""	""	""	"36"	"005"	""	""	""	"005902"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005902"	""	""	"69637"	"0"	2757	2757	102540.3	0.0268869971598324	1901	424	519	479	310	119	25	25	1901	424	998	479	1901	424	1477	958	479	169	50	25	32930	1218	195	174	21	844	0	6	112	0	61	1218	1157	87	123	155	221	156	331	84	61	42	1033	635	318	52	22	6	0
"36005006000"	"Census Tract 60, Bronx County, New York"	"Census Tract 60, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003514"	""	""	""	""	"36"	"005"	""	""	""	"006000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005006000"	""	""	"315748"	"0"	1328	1328	10893.19	0.121910989548986	823	238	172	219	149	35	0	10	823	238	391	194	823	238	585	413	194	45	10	10	42355	494	140	125	15	281	0	7	18	0	48	494	446	15	48	72	86	120	88	17	48	40	361	159	109	85	5	3	0
"36005006100"	"Census Tract 61, Bronx County, New York"	"Census Tract 61, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003515"	""	""	""	""	"36"	"005"	""	""	""	"006100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005006100"	""	""	"242362"	"0"	3869	3869	41345.85	0.0935764953351135	3228	340	954	888	714	237	95	0	3228	340	1842	1046	3228	340	2888	1934	1046	332	95	0	46642	1461	515	494	21	894	0	0	38	0	14	1461	1447	21	141	98	428	548	166	45	14	38	2203	1435	690	78	0	0	0
"36005006200"	"Census Tract 62, Bronx County, New York"	"Census Tract 62, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003516"	""	""	""	""	"36"	"005"	""	""	""	"006200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005006200"	""	""	"192942"	"0"	7268	7268	97563.17	0.0744953258470696	3910	2066	987	577	248	16	1	15	3910	2066	1564	280	3910	2066	1844	857	280	32	16	15	26694	2376	265	204	61	1853	0	33	134	0	91	2376	2285	42	136	227	614	483	594	189	91	45	2431	1878	455	98	0	0	0
"36005006300"	"Census Tract 63, Bronx County, New York"	"Census Tract 63, Bronx County, New York"	"ny"	"140"	"00"	"ACSSF"	"0003517"	""	""	""	""	"36"	"005"	""	""	""	"006300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005006300"	""	""	"1046237"	"9963"	4298	4298	10639.82	0.403954381255821	3034	784	881	609	618	122	0	20	3034	784	1490	760	3034	784	2250	1369	760	142	20	20	33737	1941	200	154	46	1575	0	0	166	0	0	1941	1941	122	140	149	463	587	347	133	0	43	1843	1317	471	47	0	0	8
