Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_QName	Geo_FIPS	Geo_AREALAND	Geo_AREAWATR	Geo_PLACESE	Geo_UACP	Geo_VTD	Geo_ZCTA3	Geo_TAZ	Geo_UGA	Geo_PUMA1	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A14006_001	SE_A09005_001	SE_A09005_002	SE_A09005_009	SE_A09005_010	SE_A09005_003	SE_A09005_004	SE_A09005_005	SE_A09005_006	SE_A09005_007	SE_A09005_008	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A09003_001	SE_A10030_001	SE_A10030_002	SE_A10030_003	SE_A10030_004	SE_A10030_005	SE_A10030_006	SE_A10030_007
"ACSSF"	"ny"	"140"	"00"	"0003618"	""	""	""	""	"36"	"005"	""	""	"002300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002300"	"Census Tract 23"	""	""	"Census Tract 23, Bronx County, New York"	"36005002300"	"104645"	"0"	""	""	""	""	""	""	""	4465	4465	110509.8	0.0404036621019094	2964	1264	884	616	127	63	10	0	2964	1264	1500	200	2964	1264	1700	816	200	73	10	0	22177	1315	256	158	98	937	0	0	111	0	11	1315	1304	30	131	140	244	402	326	31	11	42	1918	1641	226	9	42	0	0
"ACSSF"	"ny"	"140"	"00"	"0003619"	""	""	""	""	"36"	"005"	""	""	"002400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002400"	"Census Tract 24"	""	""	"Census Tract 24, Bronx County, New York"	"36005002400"	"691445"	"265400"	""	""	""	""	""	""	""	0	0	0	0.266968418386494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003620"	""	""	""	""	"36"	"005"	""	""	"002500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002500"	"Census Tract 25"	""	""	"Census Tract 25, Bronx County, New York"	"36005002500"	"127492"	"0"	""	""	""	""	""	""	""	5662	5662	115023	0.0492249384939235	3421	1344	1122	635	240	53	27	0	3421	1344	1757	320	3421	1344	2077	955	320	80	27	0	25954	1955	186	117	69	1243	0	0	364	108	54	1955	1901	117	200	360	343	376	445	60	54	38	1919	1663	221	35	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003621"	""	""	""	""	"36"	"005"	""	""	"002701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002701"	"Census Tract 27.01"	""	""	"Census Tract 27.01, Bronx County, New York"	"36005002701"	"81584"	"0"	""	""	""	""	""	""	""	2938	2938	93270.55	0.0314997598444472	1769	696	599	326	126	22	0	0	1769	696	925	148	1769	696	1073	474	148	22	0	0	18686	769	93	68	25	487	0	0	102	70	17	769	752	145	53	160	52	104	177	61	17	40	1119	908	191	20	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003622"	""	""	""	""	"36"	"005"	""	""	"002702"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002702"	"Census Tract 27.02"	""	""	"Census Tract 27.02, Bronx County, New York"	"36005002702"	"155461"	"0"	""	""	""	""	""	""	""	4413	4413	73520.8	0.0600238302262404	2610	1168	864	374	196	8	0	0	2610	1168	1238	204	2610	1168	1442	578	204	8	0	0	14681	1244	144	117	27	974	0	22	104	0	0	1244	1244	22	119	229	174	394	266	40	0	40	1524	1129	355	22	18	0	0
"ACSSF"	"ny"	"140"	"00"	"0003623"	""	""	""	""	"36"	"005"	""	""	"002800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002800"	"Census Tract 28"	""	""	"Census Tract 28, Bronx County, New York"	"36005002800"	"414588"	"24682"	""	""	""	""	""	""	""	5372	5372	33559.62	0.160073328525074	4261	450	943	1406	840	622	0	0	4261	450	2349	1462	4261	450	3811	2868	1462	622	0	0	54321	2503	1068	979	89	1147	0	0	55	0	233	2503	2270	0	222	404	394	596	484	170	233	43	2451	772	1320	345	14	0	0
"ACSSF"	"ny"	"140"	"00"	"0003624"	""	""	""	""	"36"	"005"	""	""	"003100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003100"	"Census Tract 31"	""	""	"Census Tract 31, Bronx County, New York"	"36005003100"	"154703"	"0"	""	""	""	""	""	""	""	2165	2165	36245.73	0.0597311647775974	1407	409	336	347	209	106	0	0	1407	409	683	315	1407	409	998	662	315	106	0	0	34276	971	156	140	16	663	0	0	76	24	52	971	919	25	289	53	103	209	195	45	52	36	893	656	191	39	0	7	0
"ACSSF"	"ny"	"140"	"00"	"0003625"	""	""	""	""	"36"	"005"	""	""	"003300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003300"	"Census Tract 33"	""	""	"Census Tract 33, Bronx County, New York"	"36005003300"	"152385"	"0"	""	""	""	""	""	""	""	3339	3339	56750.8	0.0588361799359688	1916	813	527	399	158	19	0	0	1916	813	926	177	1916	813	1103	576	177	19	0	0	20129	784	201	137	64	477	0	13	43	0	50	784	734	33	123	88	181	145	117	47	50	37	1237	806	379	52	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003626"	""	""	""	""	"36"	"005"	""	""	"003500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003500"	"Census Tract 35"	""	""	"Census Tract 35, Bronx County, New York"	"36005003500"	"142005"	"0"	""	""	""	""	""	""	""	3880	3880	70766.2	0.0548284393595646	2237	910	424	499	336	60	8	0	2237	910	923	404	2237	910	1327	903	404	68	8	0	30793	1229	316	297	19	804	0	0	58	0	51	1229	1178	0	68	102	232	286	398	92	51	47	1469	860	521	59	29	0	0
"ACSSF"	"ny"	"140"	"00"	"0003627"	""	""	""	""	"36"	"005"	""	""	"003700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003700"	"Census Tract 37"	""	""	"Census Tract 37, Bronx County, New York"	"36005003700"	"165973"	"0"	""	""	""	""	""	""	""	277	277	4322.55	0.0640825362897434	233	86	14	67	52	0	14	0	233	86	81	66	233	86	147	133	66	14	14	0	37321	132	27	27	0	65	0	0	0	40	0	132	132	5	23	0	0	43	44	17	0	53	158	139	19	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003628"	""	""	""	""	"36"	"005"	""	""	"003800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003800"	"Census Tract 38"	""	""	"Census Tract 38, Bronx County, New York"	"36005003800"	"63397"	"0"	""	""	""	""	""	""	""	1313	1313	53640.62	0.02447771958789	824	138	233	370	43	11	22	7	824	138	603	83	824	138	686	453	83	40	29	7	83295	514	287	287	0	216	0	0	5	0	6	514	508	46	37	53	94	108	122	48	6	44	343	81	162	81	19	0	0
"ACSSF"	"ny"	"140"	"00"	"0003629"	""	""	""	""	"36"	"005"	""	""	"003900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005003900"	"Census Tract 39"	""	""	"Census Tract 39, Bronx County, New York"	"36005003900"	"216210"	"0"	""	""	""	""	""	""	""	6710	6710	80379.35	0.0834791512547548	3936	1265	1278	913	271	193	0	16	3936	1265	2191	480	3936	1265	2671	1393	480	209	16	16	20049	2394	202	172	30	1586	0	0	464	142	0	2394	2394	372	96	154	478	626	577	91	0	39	2264	1639	563	0	0	35	27
"ACSSF"	"ny"	"140"	"00"	"0003630"	""	""	""	""	"36"	"005"	""	""	"004001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004001"	"Census Tract 40.01"	""	""	"Census Tract 40.01, Bronx County, New York"	"36005004001"	"123145"	"0"	""	""	""	""	""	""	""	1574	1574	33104.4	0.0475465523392386	1082	239	355	245	164	79	0	0	1082	239	600	243	1082	239	843	488	243	79	0	0	64087	614	301	238	63	274	0	0	17	0	22	614	592	61	78	66	122	87	178	0	22	36	497	133	269	81	13	1	0
"ACSSF"	"ny"	"140"	"00"	"0003631"	""	""	""	""	"36"	"005"	""	""	"004100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004100"	"Census Tract 41"	""	""	"Census Tract 41, Bronx County, New York"	"36005004100"	"184732"	"0"	""	""	""	""	""	""	""	5798	5798	81289.38	0.0713254269903953	3821	1603	986	825	388	19	0	0	3821	1603	1811	407	3821	1603	2218	1232	407	19	0	0	20551	2041	158	158	0	1392	0	0	266	0	225	2041	1816	0	86	143	471	664	341	111	225	43	2318	1592	663	43	0	20	0
"ACSSF"	"ny"	"140"	"00"	"0003632"	""	""	""	""	"36"	"005"	""	""	"004200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004200"	"Census Tract 42"	""	""	"Census Tract 42, Bronx County, New York"	"36005004200"	"483356"	"0"	""	""	""	""	""	""	""	7803	7803	41811.16	0.18662480289484	4633	1114	554	1777	689	454	45	0	4633	1114	2331	1188	4633	1114	3519	2965	1188	499	45	0	57250	3182	1166	1046	120	1760	0	0	157	0	99	3182	3083	71	405	464	367	794	895	87	99	42	2856	1328	1334	104	90	0	0
"ACSSF"	"ny"	"140"	"00"	"0003633"	""	""	""	""	"36"	"005"	""	""	"004300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004300"	"Census Tract 43"	""	""	"Census Tract 43, Bronx County, New York"	"36005004300"	"225395"	"0"	""	""	""	""	""	""	""	5527	5527	63510.12	0.0870254997320451	3509	1212	768	1029	453	33	0	14	3509	1212	1797	500	3509	1212	2297	1529	500	47	14	14	25534	1831	352	325	27	1158	0	14	193	0	114	1831	1717	34	73	343	471	384	371	41	114	39	2179	1646	425	103	0	5	0
"ACSSF"	"ny"	"140"	"00"	"0003634"	""	""	""	""	"36"	"005"	""	""	"004400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004400"	"Census Tract 44"	""	""	"Census Tract 44, Bronx County, New York"	"36005004400"	"265579"	"0"	""	""	""	""	""	""	""	4551	4551	44382.41	0.102540629531874	2767	1160	573	814	171	49	0	0	2767	1160	1387	220	2767	1160	1607	1034	220	49	0	0	15750	1007	190	133	57	523	0	0	103	53	138	1007	869	29	98	103	214	133	256	36	138	41	1616	1115	477	24	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003635"	""	""	""	""	"36"	"005"	""	""	"004600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004600"	"Census Tract 46"	""	""	"Census Tract 46, Bronx County, New York"	"36005004600"	"135341"	"0"	""	""	""	""	""	""	""	1826	1826	34943.72	0.0522554544654261	1098	301	266	318	125	84	4	0	1098	301	584	213	1098	301	797	531	213	88	4	0	29145	565	190	164	26	333	0	0	29	0	13	565	552	40	8	63	115	86	194	46	13	47	658	417	202	39	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003636"	""	""	""	""	"36"	"005"	""	""	"004800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005004800"	"Census Tract 48"	""	""	"Census Tract 48, Bronx County, New York"	"36005004800"	"150834"	"0"	""	""	""	""	""	""	""	4464	4464	76651.86	0.0582373354625581	2777	1010	812	581	325	41	8	0	2777	1010	1393	374	2777	1010	1767	955	374	49	8	0	33500	1727	450	436	14	1070	0	0	123	0	84	1727	1643	23	200	105	208	394	565	148	84	46	1504	1038	383	63	20	0	0
"ACSSF"	"ny"	"140"	"00"	"0003637"	""	""	""	""	"36"	"005"	""	""	"005001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005001"	"Census Tract 50.01"	""	""	"Census Tract 50.01, Bronx County, New York"	"36005005001"	"97889"	"0"	""	""	""	""	""	""	""	4304	4304	113877	0.0377951558076717	2559	769	895	491	335	69	0	0	2559	769	1386	404	2559	769	1790	895	404	69	0	0	28353	1306	313	285	28	802	0	0	105	0	86	1306	1220	132	77	171	140	211	397	92	86	42	1328	878	387	48	15	0	0
"ACSSF"	"ny"	"140"	"00"	"0003638"	""	""	""	""	"36"	"005"	""	""	"005002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005002"	"Census Tract 50.02"	""	""	"Census Tract 50.02, Bronx County, New York"	"36005005002"	"113901"	"0"	""	""	""	""	""	""	""	6393	6393	145370	0.0439774238336239	3809	1577	1201	617	240	174	0	0	3809	1577	1818	414	3809	1577	2232	1031	414	174	0	0	34013	1844	381	320	61	1284	0	46	87	28	18	1844	1826	79	221	64	223	459	512	268	18	48	1946	1504	393	49	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003639"	""	""	""	""	"36"	"005"	""	""	"005100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005100"	"Census Tract 51"	""	""	"Census Tract 51, Bronx County, New York"	"36005005100"	"510445"	"0"	""	""	""	""	""	""	""	6087	6087	30885.32	0.197083924713165	3553	1552	867	794	322	18	0	0	3553	1552	1661	340	3553	1552	2001	1134	340	18	0	0	19731	1527	228	143	85	907	0	0	251	57	84	1527	1443	0	274	169	360	263	325	52	84	39	2186	1882	286	18	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003640"	""	""	""	""	"36"	"005"	""	""	"005200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005200"	"Census Tract 52"	""	""	"Census Tract 52, Bronx County, New York"	"36005005200"	"182689"	"0"	""	""	""	""	""	""	""	1833	1833	25986.5	0.0705366202468892	1158	293	502	274	62	20	0	7	1158	293	776	89	1158	293	865	363	89	27	7	7	21397	674	98	72	26	515	0	10	25	0	26	674	648	32	22	57	157	159	168	53	26	44	825	652	154	19	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003641"	""	""	""	""	"36"	"005"	""	""	"005300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005300"	"Census Tract 53"	""	""	"Census Tract 53, Bronx County, New York"	"36005005300"	"72049"	"0"	""	""	""	""	""	""	""	5472	5472	196705.2	0.0278182756059101	2557	869	657	829	152	50	0	0	2557	869	1486	202	2557	869	1688	1031	202	50	0	0	20449	1374	202	169	33	901	0	0	81	0	190	1374	1184	0	70	144	56	71	728	115	190	57	1664	1350	294	0	20	0	0
"ACSSF"	"ny"	"140"	"00"	"0003642"	""	""	""	""	"36"	"005"	""	""	"005400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005400"	"Census Tract 54"	""	""	"Census Tract 54, Bronx County, New York"	"36005005400"	"196516"	"0"	""	""	""	""	""	""	""	5638	5638	74306.17	0.0758752550204866	3370	1117	1240	618	318	77	0	0	3370	1117	1858	395	3370	1117	2253	1013	395	77	0	0	45625	2057	411	340	71	1376	0	0	167	0	103	2057	1954	71	140	129	433	438	578	165	103	47	1736	1179	449	108	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003643"	""	""	""	""	"36"	"005"	""	""	"005600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005600"	"Census Tract 56"	""	""	"Census Tract 56, Bronx County, New York"	"36005005600"	"136188"	"0"	""	""	""	""	""	""	""	2168	2168	41230.46	0.0525824830076433	1541	474	418	251	350	36	12	0	1541	474	669	398	1541	474	1067	649	398	48	12	0	40341	830	176	170	6	535	0	0	80	2	37	830	793	3	70	66	150	121	297	86	37	50	883	534	309	29	5	6	0
"ACSSF"	"ny"	"140"	"00"	"0003644"	""	""	""	""	"36"	"005"	""	""	"005902"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005005902"	"Census Tract 59.02"	""	""	"Census Tract 59.02, Bronx County, New York"	"36005005902"	"70347"	"0"	""	""	""	""	""	""	""	2730	2730	100511.3	0.0271611297040758	1945	353	486	498	344	115	94	55	1945	353	984	608	1945	353	1592	1106	608	264	149	55	44917	1261	321	307	14	771	0	4	122	0	43	1261	1218	141	89	16	190	356	251	175	43	47	1172	804	254	100	14	0	0
"ACSSF"	"ny"	"140"	"00"	"0003645"	""	""	""	""	"36"	"005"	""	""	"006000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005006000"	"Census Tract 60"	""	""	"Census Tract 60, Bronx County, New York"	"36005006000"	"336489"	"0"	""	""	""	""	""	""	""	1295	1295	9967.739	0.12991913476047	766	267	172	187	78	29	25	8	766	267	359	140	766	267	499	327	140	62	33	8	34239	437	140	105	35	231	0	36	0	0	30	437	407	0	56	85	130	34	92	10	30	36	380	220	112	39	9	0	0
