Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_QName	Geo_FIPS	Geo_AREALAND	Geo_AREAWATR	Geo_PLACESE	Geo_UACP	Geo_VTD	Geo_ZCTA3	Geo_TAZ	Geo_UGA	Geo_PUMA1	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A14006_001	SE_A09005_001	SE_A09005_002	SE_A09005_009	SE_A09005_010	SE_A09005_003	SE_A09005_004	SE_A09005_005	SE_A09005_006	SE_A09005_007	SE_A09005_008	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A09003_001	SE_A10030_001	SE_A10030_002	SE_A10030_003	SE_A10030_004	SE_A10030_005	SE_A10030_006	SE_A10030_007
"ACSSF"	"ny"	"140"	"00"	"0003608"	""	""	""	""	"36"	"005"	""	""	"000100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005000100"	"Census Tract 1"	""	""	"Census Tract 1, Bronx County, New York"	"36005000100"	"1677210"	"1035011"	""	""	""	""	""	""	""	6661	6661	10286.08	0.647574428916273	5557	2577	2278	570	108	10	0	14	5557	2577	2848	132	5557	2577	2980	702	132	24	14	14	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003609"	""	""	""	""	"36"	"005"	""	""	"000200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005000200"	"Census Tract 2"	""	""	"Census Tract 2, Bronx County, New York"	"36005000200"	"452832"	"852406"	""	""	""	""	""	""	""	4453	4453	25469.08	0.174839420105421	3027	549	842	658	472	465	14	27	3027	549	1500	978	3027	549	2478	1636	978	506	41	27	70867	1664	779	766	13	658	0	0	200	0	27	1664	1637	11	164	263	328	467	295	109	27	44	1392	328	591	405	56	12	0
"ACSSF"	"ny"	"140"	"00"	"0003610"	""	""	""	""	"36"	"005"	""	""	"000400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005000400"	"Census Tract 4"	""	""	"Census Tract 4, Bronx County, New York"	"36005000400"	"770689"	"690794"	""	""	""	""	""	""	""	6000	6000	20163.68	0.297564699141463	4434	831	996	1317	821	350	119	0	4434	831	2313	1290	4434	831	3603	2607	1290	469	119	0	98090	3082	1689	1628	61	1077	0	0	130	64	122	3082	2960	49	201	407	731	384	847	341	122	48	2199	561	872	522	206	29	9
"ACSSF"	"ny"	"140"	"00"	"0003611"	""	""	""	""	"36"	"005"	""	""	"001600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001600"	"Census Tract 16"	""	""	"Census Tract 16, Bronx County, New York"	"36005001600"	"485078"	"0"	""	""	""	""	""	""	""	6038	6038	32238.83	0.187289670840174	3995	905	1210	1147	528	168	37	0	3995	905	2357	733	3995	905	3090	1880	733	205	37	0	40033	2422	953	880	73	1173	0	12	110	29	145	2422	2277	40	320	204	547	367	394	405	145	47	2187	1214	662	223	35	36	17
"ACSSF"	"ny"	"140"	"00"	"0003612"	""	""	""	""	"36"	"005"	""	""	"001901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001901"	"Census Tract 19.01"	""	""	"Census Tract 19.01, Bronx County, New York"	"36005001901"	"205007"	"0"	""	""	""	""	""	""	""	2168	2168	27389.77	0.0791536485883332	1520	174	436	429	283	183	9	6	1520	174	865	481	1520	174	1346	910	481	198	15	6	55924	1134	263	214	49	600	0	21	56	25	169	1134	965	54	175	86	117	381	107	45	169	39	885	615	224	46	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003613"	""	""	""	""	"36"	"005"	""	""	"001902"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001902"	"Census Tract 19.02"	""	""	"Census Tract 19.02, Bronx County, New York"	"36005001902"	"469741"	"0"	""	""	""	""	""	""	""	1399	1399	7713.598	0.18136802178234	933	354	250	162	125	38	4	0	933	354	412	167	933	354	579	329	167	42	4	0	60804	617	105	65	40	470	0	0	19	10	13	617	604	46	34	46	81	195	167	35	13	46	376	242	111	14	0	9	0
"ACSSF"	"ny"	"140"	"00"	"0003614"	""	""	""	""	"36"	"005"	""	""	"001903"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001903"	"Census Tract 19.03"	""	""	"Census Tract 19.03, Bronx County, New York"	"36005001903"	"908739"	"0"	""	""	""	""	""	""	""	0	0	0	0.350866104398939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003615"	""	""	""	""	"36"	"005"	""	""	"001904"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005001904"	"Census Tract 19.04"	""	""	"Census Tract 19.04, Bronx County, New York"	"36005001904"	"82079"	"1138170"	""	""	""	""	""	""	""	0	0	0	0.0316908804210676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003616"	""	""	""	""	"36"	"005"	""	""	"002001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002001"	"Census Tract 20.01"	""	""	"Census Tract 20.01, Bronx County, New York"	"36005002001"	"199398"	"0"	""	""	""	""	""	""	""	4694	4694	60970.54	0.07698800148881	2545	903	897	627	75	43	0	0	2545	903	1524	118	2545	903	1642	745	118	43	0	0	20870	1253	222	222	0	876	0	0	120	0	35	1253	1218	61	59	157	144	150	227	420	35	59	1759	1297	462	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0003617"	""	""	""	""	"36"	"005"	""	""	"002002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36005002002"	"Census Tract 20.02"	""	""	"Census Tract 20.02, Bronx County, New York"	"36005002002"	"204892"	"0"	""	""	""	""	""	""	""	4274	4274	54026.55	0.0791092468382093	2942	1383	679	552	232	0	22	74	2942	1383	1231	328	2942	1383	1559	880	328	96	96	74	""	1655	604	566	38	954	0	0	97	0	0	1655	1655	0	216	56	347	712	274	50	0	41	1904	1162	634	108	0	0	0
